NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Study Type,Start Date
NCT06153654,Role of the Nasal Environment in Obesity,https://clinicaltrials.gov/study/NCT06153654,UNKNOWN,The primary aim of this study is to investigate the nasal environment in obese and lean individuals.,NO,Adiposity,,Katharina Timper,,,150,OBSERVATIONAL,2021-07-30
NCT01785004,Vitamin D and Omega-3 Adiposity Trial (VITAL Adiposity),https://clinicaltrials.gov/study/NCT01785004,UNKNOWN,"The VITamin D and OmegA-3 TriaL (VITAL; NCT 01169259) is a randomized clinical trial in 20,000 U.S. men and women investigating whether taking daily dietary supplements of vitamin D3 (2000 IU) or omega-3 fatty acids (1 gram of omega-3 fatty acids) reduces the risk of developing cancer, heart disease, and stroke in people who do not have a prior history of these illnesses. This ancillary study (VITAL Adiposity) is being conducted among participants in VITAL and will examine the effect of vitamin D or fish oil on changes in body composition and adiposity (baseline compared to 2 year, as measured by anthropometric indices, total and regional body fat and adipokines) and assess whether changes in cardiovascular risk factors (lipids, glucose tolerance, blood pressure) are mediated by these parameters. How achieved 25(OH)D levels are affected by body composition and body mass will also be assessed.",NO,Adiposity,"DIETARY_SUPPLEMENT: Vitamin D3 (cholecalciferol), 2000 IU per day|DRUG: omega-3 fatty acids (fish oil)",Brigham and Women's Hospital,American Heart Association,NA,600,INTERVENTIONAL,2012-07
NCT06189001,The Role of Oxytocin-receptor Signalling in Physiological Regulation of Eating Behaviour in Individuals with Obesity,https://clinicaltrials.gov/study/NCT06189001,COMPLETED,"The present study evaluates appetite, glucose metabolism, gastrointestinal motility and energy expenditure in men and women with obesity (BMI 30-40 kg/m2) under oxytocin exposure compared to placebo.",NO,Adiposity,DRUG: Oxytocin|OTHER: Placebo (saline),"University Hospital, Gentofte, Copenhagen",,NA,25,INTERVENTIONAL,2024-01-01
NCT02546778,Effects of Radiofrequency on Located Adiposity,https://clinicaltrials.gov/study/NCT02546778,COMPLETED,"Nowadays increasingly quest for improved physical appearance, gradually developing the medicine of beauty, where the radio fits as an additional tool in helping some aging processes and maintenance of body shape. The aim of this study was to evaluate and compare the changes in the thickness of adipose tissue and blood levels of some biochemical markers of sedentary and active women who underwent radio frequency technique via ultrasound imaging and laboratory tests. Seven (7) sessions were held, each lasting 20 minutes each, 22 volunteers allocated into two groups, sedentary and physically active. Measures ultrasound image were collected at baseline, pre-treatment and post-treatment period period and serum biochemical parameters (lipid profile, liver and kidney) for the pre-treatment and post-treatment.",NO,Adiposity,DEVICE: Dermosux RF,Federal University of Health Science of Porto Alegre,,NA,30,INTERVENTIONAL,2014-05
NCT03317522,Maternal Lipids and Offspring Adiposity at 5-7 Years,https://clinicaltrials.gov/study/NCT03317522,COMPLETED,"This study investigates the associations between measured maternal lipids (Total cholesterol, LDL-cholesterol , triglycerides and high-density lipoprotein cholesterol) at 28 weeks' gestation and offspring adiposity at 5-7 years. This was examined in a large observational study based in Belfast, UK.",NO,Adiposity,,Belfast Health and Social Care Trust,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Diabetes UK,,1224,OBSERVATIONAL,2001-01-09
NCT06223035,Myokine Identification Following Acute Exercise,https://clinicaltrials.gov/study/NCT06223035,COMPLETED,"Exercise stimulates a cascade of responses within the human body. For example, exercise results in the release of proteins into the circulation which communicate with cells and organs throughout the body. In fact, recent human research identified more than 600 proteins are released into the blood circulation following short-term exercise, many of which are predicted to come from the skeletal muscle and target the fat tissue. However, identification of these muscle-secreted proteins and their target tissue (i.e. fat tissue) remains extremely challenging. This challenge is because tissue needs to be collected from multiple sites (skeletal muscle and fat) and at multiple timepoints (before and after exercise). This study seeks to address these challenges through the collection of fat and blood both before and after short-term exercise followed by protein detection (of the blood) and gene expression (of the fat tissue).",NO,Adiposity,OTHER: Exercise,Rockefeller University,"Hospital for Special Surgery, New York",NA,12,INTERVENTIONAL,2024-04-18
NCT03401970,Dietary Carbohydrate and Internal Body Fat,https://clinicaltrials.gov/study/NCT03401970,COMPLETED,"This is a 2-year randomized controlled trial to test the effect of dietary carbohydrates, both quality and quantity, on changes in internal body fat mass. Up to 250 women and men with obesity are recruited in Bergen, Norway, and randomized to one of the following normo- and isocaloric dietary patterns (same amount of protein, polyunsaturated fatty acids and moderate energy, 2,000 - 2,500 kcal per day): 1) a low-fat high-carbohydrate diet primarily with refined (e.g., flour-based) carbohydrate sources, 2) a low-fat high-carbohydrate diet based on minimally refined (e.g., cellular) carbohydrate sources, and 3) a very-high-fat low-carbohydrate diet.",NO,Adiposity,BEHAVIORAL: Acellular carbohydrate diet|BEHAVIORAL: Cellular carbohydrate diet|BEHAVIORAL: Low-carbohydrate high-fat diet,Haukeland University Hospital,University of Bergen,NA,150,INTERVENTIONAL,2018-01-03
NCT05433688,Study on the Performance of Symmcora® Mid-term Suture Versus Novosyn® Suture in Patients Undergoing Robotic Assisted Gastric Bypass Surgery,https://clinicaltrials.gov/study/NCT05433688,ACTIVE_NOT_RECRUITING,"The study is designed as a prospective, mono-centric, randomized, patient blinded comparison of unidirectional barbed suture (Symmcora® mid term, UBS) vs. a conventional suture (Novosyn®, CS). Patient will be randomly allocated in a 1:1 ratio to either the UBS group or the CS group to perform the gastro-jejunal anastomosis (GJA) and the jejuno-jejunal anastomosis (JJA).

The product under investigation and the conventional suture material will be used in routine clinical practice and according to the Instructions for Use (IfU).",NO,Adiposity,DEVICE: Robotic assisted gastric bypass surgery,Aesculap AG,B.Braun Surgical SA,,150,OBSERVATIONAL,2022-10-12
NCT05328570,Comparing the Effects of Exercise on the Structure and Function of Fat Tissue,https://clinicaltrials.gov/study/NCT05328570,COMPLETED,Assess differences in structure and biological function of abdominal subcutaneous adipose tissue samples collected from adults who exercise regularly vs. a well-matched cohort of non-exercisers.,NO,Adiposity,DIAGNOSTIC_TEST: Oral Glucose Tolerance Test,University of Michigan,,NA,45,INTERVENTIONAL,2020-06-04
NCT04841551,Kybella for the Treatment of Flank Fat (FF),https://clinicaltrials.gov/study/NCT04841551,COMPLETED,To Determine the safety and Effectiveness of Kybella for the treatment of Flank Fat (FF),NO,Adiposity,DRUG: Kybella Flanks,"Beer, Kenneth R., M.D., PA",,PHASE4,10,INTERVENTIONAL,2021-07-22
