NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Study Type,Start Date
NCT00726505,Renal Mechanism of Action/Splay vs. TmG,https://clinicaltrials.gov/study/NCT00726505,TERMINATED,The purpose of this study is to evaluate the effects of dapagliflozin to promote glucose loss in urine in healthy subjects and subjects with type 2 diabetes mellitus,NO,"Diabetes, NOS",DRUG: Dapagliflozin,AstraZeneca,Bristol-Myers Squibb,PHASE1,1,INTERVENTIONAL,2009-06
NCT00162175,PPAR-COMBO With Sulfonylurea,https://clinicaltrials.gov/study/NCT00162175,COMPLETED,"A Phase 3, Randomized, Double-blind, Placebo Controlled, Multicenter Trial to Evaluate the Safety and Efficacy of BMS-298585 in Combination with Glyburide Therapy in Subjects with Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Sulfonylurea Therapy Alone.",NO,Metabolics Diabetes Nos,DRUG: Muraglitazar,Bristol-Myers Squibb,,PHASE3,534,INTERVENTIONAL,2003-07
NCT07204782,"Cardiovascular Disease CVD Constitutes a Significant Health Challenge for Individuals With Type 2 Diabetes Mellitus T2DM, Affecting Approximately 32% of This Population and Contributing Significantly to Global Mortality.Visceral Adipose Tissue VAT Accumulation Has Been Recognize",https://clinicaltrials.gov/study/NCT07204782,NOT_YET_RECRUITING,"calculate cardiovascular risk scores in type 2 DM patients, then estimate its association with new visceral adipose tissue indices",NO,Diabete Mellitus,,Assiut University,,,238,OBSERVATIONAL,2025-12-01
NCT07503548,"Effect of Tributyrin Supplementation on Glycemic Control, Inflammation, and Cardiovascular Risk in Patients With Type 2 Diabetes",https://clinicaltrials.gov/study/NCT07503548,NOT_YET_RECRUITING,"This study evaluates the effectiveness and safety of tributyrin supplementation in patients with type 2 diabetes mellitus (T2DM) who are at increased risk of cardiovascular disease. Type 2 diabetes is commonly associated with poor blood sugar control, chronic inflammation, oxidative stress, and an increased risk of heart disease.

Tributyrin is a dietary supplement that acts as a precursor to butyrate, a compound known for its anti-inflammatory and metabolic benefits. It may help improve blood sugar levels, reduce inflammation, and lower cardiovascular risk.

In this randomized, double-blind, controlled clinical trial, participants will receive either tributyrin in addition to their standard diabetes treatment or standard therapy alone. The study will assess whether tributyrin improves glycemic control, inflammation, oxidative stress, lipid profile, and overall cardiovascular risk while maintaining safety and tolerability.",NO,Diabete Mellitus,DRUG: tributyrin|OTHER: Placebo,Ain Shams University,,PHASE3,60,INTERVENTIONAL,2026-03-26
NCT07307183,Prediction Model for the Risk of Developing Foot Ulcers in Diabetes,https://clinicaltrials.gov/study/NCT07307183,RECRUITING,"Introduction Foot ulcers in diabetes mellitus (DM) are a common and serious complication that can lead to infection, amputation, and increased mortality. Early identification of patients at high risk is crucial in order to implement preventive measures at an early stage. The number of people with DM is increasing globally, from 540 million in 2021 to an estimated 780 million by 2045. Foot ulcers cause considerable suffering for the individual and entail substantial costs for the healthcare system.

Despite national guidelines recommending regular, structured foot examinations and risk classification to assess the risk of developing foot ulcers, current risk models do not take into account the complex interactions between risk factors and socioeconomic factors such as marital status, level of education, and place of residence.

Data-driven advances and artificial intelligence (AI) offer new opportunities to refine risk identification, but their use in predicting the risk of diabetic foot ulcers remains limited. The need for foot screening is considerable. In Sweden, there are approximately 600,000 patients with DM, and half of them live with an increased risk due to nerve damage in the feet. This means that, based on risk level, around 300,000 patients in Sweden may require preventive interventions, including medical foot care, customised footwear, and access to specialist care for those with foot ulcers. Improved preventive efforts are emphasised in the person-centred and integrated care pathway for people with diabetes at high risk of foot ulcers. However, accurate identification of foot ulcer risk is currently lacking.

Prevention leads not only to good quality of life for the individual but also to reduced healthcare costs. Estimates by Ragnarsson Tennvall show that a hard-to-heal ulcer costs approximately SEK 100,000 per year, while an amputation costs around SEK 300,000-500,000. Given a prevalence of foot ulcers of 5% among patients with diabetes, the annual cost of ulcer care amounts to SEK 3 billion. In addition, there are costs of approximately SEK 750 million for amputations, according to data from the quality register SwedAmp.

The aim of the study is to develop, test, and validate prediction models (statistical and AI-based) to identify patients with DM who are at risk of developing foot ulcers. The models will be based on retrospective electronic health record data from primary care in the Västra Götaland Region (VGR), as well as data from Statistics Sweden (SCB) concerning demographic factors such as marital status, level of education, occupation, and place of residence.

Methods The study has two methodological approaches: AI-based modelling and statistical modelling.

AI-based approach Machine learning models will be developed to predict patients at risk of developing diabetic foot ulcers. The models will be trained using cross-validation on a large dataset in which variables will be iteratively excluded. Conformal prediction will be used to quantify uncertainty in patient-level predictions. The resulting models will be analysed to identify the strongest predictors and will be compared with classical statistical modelling and findings from the literature.

Steps in AI modelling:

Data extraction: Electronic health record data from primary care in VGR, supplemented with sociodemographic data from SCB.

Data processing: Use of, among other variables, diagnostic codes (ICD-10), healthcare interventions (KVÅ codes), visit types, visit frequency, ECG parameters, and free-text data to construct predictors.

Model development: Prediction models will be developed and trained using cross-validation. Measures of uncertainty will be generated using conformal prediction.

Validation: A separate cohort will be used to test model performance (sensitivity, specificity, positive predictive value \[PPV\]).

Interpretation: The models will be reviewed for transparency and clinical interpretability in collaboration with patient representatives, clinicians, and researchers.

The results of the statistical and AI-based models will be compared with regard to their respective strengths and weaknesses.

Statistical modelling Two populations will be analysed: patients with diabetes without foot ulcers and patients with diabetes with foot ulcers. Co-variation and causal relationships between risk factors and foot ulcers will be identified. A model describing causal pathways leading to ulcer development will be developed, and its certainty and uncertainty will be analysed.",NO,Diabete Mellitus,,Sahlgrenska University Hospital,,,100000,OBSERVATIONAL,2014-01-30
NCT07247656,The Efficacy and Safety of Empagliflozin - Linagliptin and Empagliflozin- Metformin Therapy in Reduction of Body Weight in Type 2 Diabetic Patients .,https://clinicaltrials.gov/study/NCT07247656,COMPLETED,The goal of this clinical trial is - Comparison of Empagliflozin - Linagliptin with Empagliflozin - Metformin combination therapy in reduction of body weight in T2DM Patients and it included 200 diabetic subjects with total study period of 12 weeks and individual study period of 4 weeks .,NO,Diabete Mellitus,DRUG: (Empagliflozin 10 mg+ Tab Linagliptin 5mg)|DRUG: Tab Empagliflozin 10 mg + Tab Metformin 500 mg,Bahria University,,PHASE4,200,INTERVENTIONAL,2022-12-01
NCT07229534,Clinical Trial to Evaluate the Efficacy and Safety of DA-5218 in Patients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT07229534,NOT_YET_RECRUITING,"This study is a multicenter, double-blind, active-controlled, randomized, parallel, phase IV clinical trial to evaluate the efficacy and safety of DA-5218 in patients with type 2 diabetes who have inadequate glycemic control with metformin",NO,Diabete Mellitus,DRUG: DA-5218|DRUG: DA-5218-C,"Dong-A ST Co., Ltd.",,PHASE4,238,INTERVENTIONAL,2025-11
NCT07239440,Clinical Trial to Evaluate the Efficacy and Safety of DA-2811 When Added to Ongoing BT-1 and BT-2 Combination Therapy in Patients With Type 2 Diabetes Who Have Inadequate Glycemic Control,https://clinicaltrials.gov/study/NCT07239440,NOT_YET_RECRUITING,"This study is a multicenter, double-blind, active-controlled, randomized, parallel clinical trial to evaluate the efficacy and safety of DA-2811 when added to ongoing BT-1 and BT-2 combination therapy in patients with type 2 diabetes who have inadequate glycemic control",NO,Diabete Mellitus,DRUG: DA-2811|DRUG: DA-2811-C,"Dong-A ST Co., Ltd.",,PHASE2,288,INTERVENTIONAL,2025-11
NCT05420714,Professional Continuous Glucose Monitoring at the Parkland Diabetes Clinic,https://clinicaltrials.gov/study/NCT05420714,WITHDRAWN,"The purpose of this study is to assess whether the short-term use of professional continuous glucose monitoring (Pro-CGM) at the Parkland Diabetes Clinic in selected patients with poorly-controlled diabetes due to hyper- and/or hypoglycemia leads to improvements in patients' glycemic control within 3-6 months, subjective understanding of how food, activity, and medications affect blood sugar levels, and diabetes self-care practices. The study will be a prospective cohort study that assesses patients glycemic control and diabetes self-care practices before and 3-6 months after utilization of a Pro-CGM for 10 days. Glycemic control and diabetes self-care practices will be assessed based on hemoglobin A1c measurements and glucose data download from glucometer and Pro-CGM. A short survey will be administered at the end of the 10 days Pro-CGM use to assess whether the Pro-CGM use had a positive impact on patients' understanding of how different activities affect their blood sugar and diabetes self-care practices.

Parkland Diabetes Clinic serves an ethnically diverse, low socioeconomic patient population, the majority of whom do not have access to diabetes technology like continuous glucose monitoring. CGM measures sugar levels every 5 to 15 minutes and have been shown in clinical studies to improve glycemic control. Establishing a professional CGM program at the clinic will provide short-term access to this technology. One of the main reason for conducting this study is to determine if Pro-CGM would be a useful intervention to integrate into the clinic's routine practice in the future.",NO,Diabete Mellitus,DEVICE: Dexcom Professional Continuous Glucose Monitoring,University of Texas Southwestern Medical Center,,NA,0,INTERVENTIONAL,2022-08
NCT07496593,Total Intravenous and Balanced Anesthesia in Diabetic Patients Undergoing Video-Assisted Thoracoscopy,https://clinicaltrials.gov/study/NCT07496593,ACTIVE_NOT_RECRUITING,"Video-assisted thoracoscopy is a minimally invasive surgical technique used to diagnose and treat problems in chest. Diabetics are more prone to infections, slower wound healing and other complications during and after surgery. Studies suggests that Total Intravenous Anesthesia (TIVA) can lead to a lower increase in blood glucose levels and a better suppression of the stress response compared to balanced anesthesia using inhalational agents like Isoflurane.

In the present study we are aiming to compare the effects of Total Intravenous Anesthesia (TIVA) Versus Balanced Anesthesia on blood glucose level in Diabetic Patients undergoing Video-assisted thoracoscopy.",NO,Diabete Mellitus|VATS|TIVA,DRUG: Propofol + fentanyl + Atracurium|DRUG: Isoflurane and Atracurium,Ain Shams University,,PHASE4,60,INTERVENTIONAL,2025-12-01
