NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Study Type,Start Date
NCT04967261,The Evaluation of Optimal Observation Period for Neurological Recovery in Post-arrest Survivors,https://clinicaltrials.gov/study/NCT04967261,COMPLETED,To explore whether the patient's neurological function recovery period is sufficient after successful emergency resuscitation recommended by the current guidelines,NO,Cardiology,,National Taiwan University Hospital,,,529,OBSERVATIONAL,2021-08-01
NCT04913207,Comprehensive CT-guided vs Echo-fluoroscopy-guided Strategy in the Left Atrial Appendage Occlusion,https://clinicaltrials.gov/study/NCT04913207,UNKNOWN,"Percutaneous left atrial appendage occlusion (LAAO) is an increasingly used alternative to oral anticoagulation in patients with nonvalvular atrial fibrillation (AF). Transesophageal echocardiography (TEE) and fluoroscopy were used to measure the maximal diameters of LAA. However, the LAA maximal diameters measured on Two dimensional (2D) views could be limited due to the morphology of LAA varies with each individua. Three dimension computed tomography angiography technology (3D-CTA) is based on cardiac computed tomography angiography (CCTA). The 3D-CTA technology provides an innovative measuring method of LAA to guide the selection of device size, and the best fluoroscopy view to implant device. This measuring method and guideline have never been reported and its role in LAAO is uncertain",NO,Cardiology,PROCEDURE: method of device size selection,RenJi Hospital,,NA,310,INTERVENTIONAL,2020-08-01
NCT00503126,Bivalirudin as a Procedural Anticoagulant in Pediatrics,https://clinicaltrials.gov/study/NCT00503126,COMPLETED,Pharmacokinetics and safety of weight based bivalirudin in children,NO,Cardiology,DRUG: bivalirudin,The Medicines Company,,PHASE2,110,INTERVENTIONAL,2007-08
NCT07514299,"Investigation of the Effects of Pre-Angiography Music Interview and Aromatherapy Application on Pain, Anxiety, Fear, and Comfort Levels in Cardiology Patients",https://clinicaltrials.gov/study/NCT07514299,COMPLETED,"This study was conducted to examine the effects of non-pharmacological interventions applied before coronary angiography in cardiology patients. Specifically, the study focused on the use of music listening and lavender oil inhalation and their potential impact on patients' psychological and physical states prior to the procedure. The research was designed as a randomized controlled experimental study, in which participants were assigned to intervention and control groups for comparison.

Within the scope of the study, pain, anxiety, fear, and comfort levels were evaluated using standardized measurement tools, and data were collected through pre- and post-intervention assessments. The study emphasizes the importance of integrating complementary methods into clinical practice within a holistic nursing care approach.

Overall, the study aims to provide scientific evidence regarding the applicability of music therapy and aromatherapy as supportive, non-pharmacological interventions in the pre-angiography care of cardiology patients.",NO,Cardiology|Angiography,OTHER: Lavender essential oil inhalation|OTHER: Music intervention|OTHER: routine care,Istanbul Aydın University,Cyprus Aydin University,NA,139,INTERVENTIONAL,2024-11-01
NCT06891482,Telerehabilitation in Hemodialysis Patients.,https://clinicaltrials.gov/study/NCT06891482,ENROLLING_BY_INVITATION,"Chronic kidney disease is the third most common cause of death, with a prevalence of 10-12%. Patients undergoing hemodialysis often exhibit low levels of physical activity, leading to various health issues, including poor quality of life, fatigue, psychiatric disorders, cardiovascular diseases, musculoskeletal symptoms, and increased mortality. Increased physical activity in this population has been associated with improvements in these health conditions. Walking, for instance, has been linked to a 33% reduction in mortality and a 21% decrease in the need for kidney transplantation. However, recent findings indicate that the average step count among hemodialysis patients is significantly lower compared to the healthy population.

Telerehabilitation, utilizing digital innovations such as smartphones and smartwatches, is considered a promising strategy to promote physical activity. This randomized crossover study aims to investigate whether telerehabilitation, combined with a structured feedback intervention via a wearable activity tracker, can increase physical activity in hemodialysis patients. The study seeks to address the limited knowledge on the effectiveness of digital interventions in this population. The hypothesis is that such an intervention could positively influence physical activity levels in this group.

The primary objectives of this study are to increase the average step count, improve dialysis parameters, enhance quality of life, improve digital health literacy, increase exercise capacity, reduce overall and cardiovascular mortality, and decrease unplanned hospitalizations in cardiology, nephrology, or geriatrics departments. The study will be conducted at the dialysis center of Jessa Hospital in Hasselt, Belgium, and will include 46 patients. Each participant will consecutively undergo two different types of interventions: telerehabilitation combined with usual care rehabilitation and usual care rehabilitation only. Following recruitment, participants will be randomly assigned to one of two pre-specified intervention sequences: telerehabilitation plus usual care rehabilitation followed by usual care rehabilitation only, or usual care rehabilitation followed by telerehabilitation plus usual care rehabilitation. The study duration will be six months, with each phase lasting three months. Outcome evaluations will be conducted at three time points: baseline assessment, assessment after the first intervention, and assessment after the second intervention.

The primary outcome is the daily step count, measured by a Fitbit® Charge 5 tracker. Secondary outcomes include physical function (measured by the Short Physical Performance Battery, Two-Minute Walking Test, Cardiopulmonary Exercise Testing, Hand Grip Strength, reduction of sedentary behavior, and body composition monitoring), blood parameters, dialysis parameters, and quality of life.",NO,Cardiology|Nefrology,BEHAVIORAL: Telerehabilitation,Hartcentrum Hasselt,,NA,46,INTERVENTIONAL,2024-06-04
NCT04243226,"Effects of Aerobic Exercise on Cognition,cerebral Brain Flow and Mental Health Among Traumatic Brain Injury Patients",https://clinicaltrials.gov/study/NCT04243226,RECRUITING,"The aim of this study is to develop exercise prescription of TBI patients and then to evaluate the effectiveness of programmed aerobic walking exercise to improve cognitive performance, depression relief, motivation, symptom, resilience and quality of life with improvement of CBF. This will be a randomized controlled clinical trial, using a mixed method to explore the feasibility and validity of such a safety exercise prescription. Then, a randomized clinical control trial will be applied in TBI patients to evaluate the effectiveness of programmed aerobic exercise to promote psysical-psycho-social health such as cognitive status, 6 minutes walk test, depression relief, motivation, symptom, resilience and quality of life.",NO,Cardiology|Psychiatry,DEVICE: telehealth-based aerobic walking exercise,"National Defense Medical Center, Taiwan","Ministry of Science and Technology, Taiwan",NA,120,INTERVENTIONAL,2020-01-01
NCT06652425,Acute Effects of Cold Exposure on Cardiovascular System,https://clinicaltrials.gov/study/NCT06652425,RECRUITING,This is a randomized controlled human exposure crossover study. Investigators aim to assess the acute effects of low temperature exposure on cardiovascular system and the underlying mechanisms.,NO,Cardiovascular System,OTHER: Low temperature (15°C) group|OTHER: Moderate temperature (22°C) group,Fudan University,,NA,40,INTERVENTIONAL,2024-10-16
NCT02900456,The Intra-Aortic Balloon Pumps Insertion Registry on Behalf of the Groupe Des Angioplasticiens de la Région Ouest,https://clinicaltrials.gov/study/NCT02900456,UNKNOWN,"Intra-aortic Balloon Pumps (IABP) have been used for roughly 50 years in Critical Care Units, Intensive Care Units, Cath labs as a way to improve systemic and coronary circulation in patients in cardiogenic shock (CS) or at high risk situation as mechanical complications stemming from myocardial infarction (MI), critical coronary stenosis, high-risk PCI, etc. Several papers recently questioned the relevance of this assistance device - namely the IABP-SHOCK II trial in CS and the CRISP-AMI trial in anterior MI without CS - resulting in the downgrading of the recommendation standards of the IABP by medical societies.",NO,Interventional Cardiology,,Rennes University Hospital,,,177,OBSERVATIONAL,2015-01
NCT06277323,UCLA Health Patient Cardiology Care Gaps,https://clinicaltrials.gov/study/NCT06277323,COMPLETED,"This is a prospective randomized clinical trial evaluating how two behaviorally-informed interventions (i.e., monthly report card and storyboard interventions) impact physician behavior, with the goal of closing care gaps in preventive care and disease management.

In particular, the monthly report card intervention seeks to elevate physicians' intentions to close their patients' care gaps, while the storyboard intervention seeks to prompt action by making patients' care gaps salient. The trial investigates the separate and joint impacts of the proposed behaviorally-informed interventions on encouraging physicians to close their patients' care gaps.",NO,Health Maintenance|Cardiology,BEHAVIORAL: Monthly report card intervention|BEHAVIORAL: Storyboard intervention,"University of California, Los Angeles",,NA,46,INTERVENTIONAL,2024-01-30
NCT06285084,Deep Learning ECG Evaluation and Clinical Assessment for Competitive Sport Eligibility,https://clinicaltrials.gov/study/NCT06285084,RECRUITING,"The goal of this observationl study is to evaluate the possibility of building a Deep Learning (DL) model capable of analyzing electrocardiographic traces of athletes and providing information in the form of a probability stratification of cardiovascular disease.

Researchers will enroll a training cohort of 455 participants, evaluated following standard clinical practice for eligibility in competitive sports. The response of the clinical evaluation and ECG traces will be recorded to build a DL model.

Researchers will subsequently enroll a validation cohort of 76 participants. ECG traces will be analyzed to evaluate the accuracy of the model to discriminate participants cleared for sports eligibility versus participants who need further medical tests",NO,Sports Cardiology|Preventive Cardiology|Electrocardiogram|Artificial Intelligence,,I.R.C.C.S Ospedale Galeazzi-Sant'Ambrogio,,,531,OBSERVATIONAL,2024-02-02
