NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Study Type,Start Date
NCT02972138,Vitamin D and Bisphosphonates in the Treatment of Sickle Cell Disease,https://clinicaltrials.gov/study/NCT02972138,COMPLETED,"Sickle cell disease (SCD) is a worldwide distributed hereditary red cell disorder, which affects approximately 75,000 individuals in the United States and almost 20,000- 25,000 subjects in Europe, this latter mainly related to the immigration fluxes from endemic areas such as Sub-Saharian Africa to European countries. Studies of global burden disease have pointed out the invalidating impact of SCD on patient quality of life. This requires the development of new therapeutic options to treat sickle cell related acute and chronic complications. SCD is caused by a point mutation in the β-globin gene resulting in the synthesis of pathological hemoglobin S (HbS). HbS displays peculiar biochemical characteristics, polymerizing when deoxygenated with associated reduction in cell ion and water content (cell dehydration), increased red cell density and further acceleration of HbS polymerization. Pathophysiological studies have shown that dense, dehydrated red cells play a central role in acute and chronic clinical manifestations of SCD, in which intravascular sickling in capillaries and small vessels leads to vaso-occlusion and impaired blood flow with ischemic/reperfusion injury. In microcirculation, vaso-occlusive events (VOC) result from a complex and still partially known scenario, involving the interactions between different cell types, including dense red cells, reticulocytes, abnormally activated endothelial cells, leukocytes, platelets and plasma factors. Target organs, such as bone or lung, are involved in both acute and chronic clinical manifestations of SCD, related to their peculiar anatomic organization mainly characterized by sluggish circulation and relative local hypoxia. VOCs combined with marrow hyperplasia and inflammation has been suggested to contribute to the development of sickle bone disease (SBD). Recently, it has been proposed a possible role of vitamin D deficiency in SBD, which appears to be subordinated to the primary defect in bone homeostasis. In a humanized mouse model for SCD, we recently reported that SBD is due to imbalance between osteoblast/osteoclast activity induced by recurrent VOCs. In addition, we show that zoledronic acid prevents bone impairment related to SCD, reducing osteoclast activity and improving osteoblast performance.",NO,Sickle Cells Disease,,Società Italiana Talassemie ed Emoglobinopatie,,,80,OBSERVATIONAL,2010-01
NCT05681598,Hydroxyurea Treatment for Adult Sickle Cell Anemia Patients in Kinshasa,https://clinicaltrials.gov/study/NCT05681598,COMPLETED,"The goal of this clinical trial is to evaluate the efficacy of hydroxyurea (HU) in improving disease severity in adult patients with sickle cell anemia in Kinshasa (Democratic Republic of Congo). This study aims to:

* assess the safety and efficacy of HU treatment in the Congolese environment;
* assess the reversibility of chronic cardiac lesions. Participants will take hydroxyurea for two years. The effects of the treatment will be evaluated periodically by clinical evaluation, biological tests, and echocardiographic exploration.",NO,Sickle-Cell Anaemia,DRUG: Hydroxyurea,University of Kinshasa,KU Leuven,NA,166,INTERVENTIONAL,2017-08-30
NCT04156893,RH Genotype Matched RBC Transfusions,https://clinicaltrials.gov/study/NCT04156893,RECRUITING,To determine the feasibility and efficacy of matching donor red cells by RH genotype for a cohort of chronically transfused patients with SCD.,NO,Sickle Cells Disease,BIOLOGICAL: Red cell units that are genotype matched at the RHD and RHCE loci,Children's Hospital of Philadelphia,"New York Blood Center|National Heart, Lung, and Blood Institute (NHLBI)",PHASE1|PHASE2,35,INTERVENTIONAL,2020-01-30
NCT06601894,The Relationship of Platelet Counts With Sickle Cell Anemia in the Eastern Region of Saudi Arabia,https://clinicaltrials.gov/study/NCT06601894,NOT_YET_RECRUITING,This study aims to evaluate the relationship between platelet counts and sickle cell disease in the eastern region of the Kingdom of Saudi Arabia.,NO,Sickle Cell Anaemia|SCD,DIAGNOSTIC_TEST: Platelets count,Majmaah University,,,650,OBSERVATIONAL,2024-12-01
NCT02417298,Ketamine Infusion for Acute Sickle Cell Crisis in the Emergency Department,https://clinicaltrials.gov/study/NCT02417298,TERMINATED,"Pain associated with sickle cell disease is a common emergency department visit. It is also frequently associated with a high emergency department recidivism rate for pain control and admissions to the hospital. Opiates are considered the first line therapy for acute flares and to manage chronic pain. This often times leads to a stigma of being ""opiate seekers"" or ""frequent fliers"". With this study, we wish to explore whether adding ketamine to standard acute opiate therapy (morphine or dilaudid) will decrease subsequent repeat doses of opiates while improving the patient's perception of pain. In addition, we will be exploring whether ketamine as an adjuvant therapy can help reduce hospital admissions for the management of acute sickle cell crisis pain.",NO,Pain|Sickle Cell Disorder,DRUG: Normal saline|DRUG: Ketamine,Billy Sin,,NA,12,INTERVENTIONAL,2015-11
NCT06581900,Study of Vitamin B12 Metabolism in Children With Sickle Cell Disease Exposed to MEOPA,https://clinicaltrials.gov/study/NCT06581900,RECRUITING,"Short description of the protocol intended for the lay public. Include a brief statement of the study hypothesis (Limit : 5000 characters) The sickle cells anemia is a monogenic disease linked to the presence of Hemoglobin S due to a mutation in the Hemoglobin Beta chain. The lack of circulating oxygen induces a polymerization of the Hemoglobin S which change the red cell conformation into sickle. Those cells interact and causes vaso-occlusive crisis (CVO).

The MEOPA is a medical gas used as an antalgic and a sedative especially in sickle cells disease patients. The nitrous oxide, oxide the cobalt ion in the vitamin B12 which inactivate it irreversibly creating a functional deficiency.

During the metabolism of vitamin B12, homocysteine is transformed in methionine which is used in to form the myelin sheath and helped in producing DNA. Numerous studies already shown that the longer the exposition to MEOPA is the greater the functional deficiency of vitamin B12 occur.

A few studies shown a symptomatic deficiency of vitamin B12 due to the exposition of MEOPA in sickle cells patient but there is no explanation on the necessary amount of exposure or if some patients are more at risk. When there is a deficiency of vitamin B12 the symptoms can go from a simple orthostatic hypotension to a combined spinal sclerosis.

The participation to the study will be proposed to every patient hospitalized for a CVO in the follow up of the emergency room visit or directly in pediatric reanimation. During a usual blood test, a small amount of blood (4mL) will be collected in addition to dose the Vitamin B12, the vitamin B9, the homocysteine, and the methionine. A small amount of urine will also be collected to dose the methylmalonic acid, all those elements are a part of the metabolism of B12 vitamin.

The same sample will be taken on the day of departure of the hospital. During the hospitalization the pain management, a daily neurological exam, and the exposition to the MEOPA will be assessed meticulously.

An appointment will take place at 7 days and at one month after the hospital departure to evaluate the possible neurological defect.

Each patient can only be included once.",NO,Sickle Cells Patients,OTHER: Vitamin B12,CHU de Reims,,,29,OBSERVATIONAL,2024-11-27
NCT02844673,Mobile-Directly Observed Therapy on Adherence to Hydroxyurea,https://clinicaltrials.gov/study/NCT02844673,COMPLETED,To examine the effect of mobile-directly observed therapy (mDOT) on adherence to HU (mDOT-HuA) adults with SCA at Muhimbili National Hospital (MNH) in Tanzania.,NO,Sickle Cell Anaemia,DRUG: Hydroxyurea|DEVICE: Mobile Directly Observed Therapy,Muhimbili University of Health and Allied Sciences,University of Pittsburgh|Muhimbili National Hospital,PHASE2,98,INTERVENTIONAL,2017-04-28
NCT06019208,GenoMed4ALL: Improving SCD Classification and Prognosis by AI,https://clinicaltrials.gov/study/NCT06019208,UNKNOWN,"GenoMed4All 'Genomics and Personalized Medicine for all though Artificial Intelligence in Haematological Diseases' aims to advance on individual SCD patients' disease characterisation and to improve the monitoring of patients' health status, optimise clinical therapy guidance and ultimately improved health outcomes by the identification of biomarkers and the development of individual (risk) models in SCD. Genomed4All supports the pooling of genomic, clinical data and other ""-omics"" health through a secure and privacy respectful data sharing platform based on the novel Federated Learning scheme, to advance research in personalised medicine in haematological diseases thanks to advanced Artificial Intelligence (AI) models and standardised interoperable sharing of cross-border data, without needing to directly share any sensitive clinical patients' data. The SCD Use case will gather multi-modal clinical and -OMICs data from 1,000 SCD patients in 4 EU-MS: France, Italy, Spain and The Netherlands.

In close collaboration with the European Reference Network on Rare Hematological Diseases (ERN-EuroBloodNet, GA101157011), GENOMED4ALL involves multiple clinical partners from the network, while leveraging on healthcare information and repositories that will be gathered incorporating interoperability standards as promoted by ERN-EuroBloodNet central registry, the European Rare Blood Disorders Platform.",NO,Sickle Cell Disorders,,Hospital Universitari Vall d'Hebron Research Institute,,,1000,OBSERVATIONAL,2021-01-01
NCT05660265,"A Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Oral GSK4172239D Compared With Placebo in Sickle Cell Disease Participants Aged 18 to 50 Years",https://clinicaltrials.gov/study/NCT05660265,TERMINATED,"This will be a first time in human (FTIH) study in sickle cell diseases (SCD) participants. The FTIH study is planned to evaluate the safety, tolerability, and pharmacokinetics of GSK4172239D.

The study will be composed of 3 periods for all participants (Screening, Treatment, and Follow up). Participants will be screened and, prior to first dose on Day 1, will be randomized to receive either GSK4172239D or placebo.

GSK4172239D is a prodrug that is converted in vivo into GSK4106401. This study will be a single dose, dose-escalation study. The initial dosing for all cohorts will be staggered so that 2 participants will be dosed as sentinel participants. Provided there are no safety concerns in 48 hours (h), the remaining 6 participants scheduled for the cohort may be dosed. One selected cohort of participants will also receive an additional single dose of GSK4172239D (or matching placebo) under fed (high calorie and high fat) conditions after a washout period of a minimum of 20 days or 5 half-lives, whichever is longer, designated as the Food Effect Cohort.",NO,"Hematologic Diseases|Anaemia, Sickle Cell",DRUG: GSK4172239D|OTHER: Placebo,GlaxoSmithKline,,PHASE1,11,INTERVENTIONAL,2023-08-26
NCT00415727,Prevention Of Morbidity In Sickle Cell Disease Pilot Phase,https://clinicaltrials.gov/study/NCT00415727,UNKNOWN,"The hypothesis is that in sickle cell anaemia, nocturnal oxyhaemoglobin desaturation, is associated with low processing speed index, and this morbidity can be reduced with overnight auto Continuous Positive Airways Pressure and/or oxygen supplementation.",NO,Sickle Cell Anaemia,DEVICE: auto Continuous Positive Airways Pressure (CPAP) with oxygen supplementation,Institute of Child Health,,PHASE2,22,INTERVENTIONAL,2006-11
