NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Study Type,Start Date
NCT02397824,Orodental Manifestations of Rare Diseases,https://clinicaltrials.gov/study/NCT02397824,UNKNOWN,"OroDental anomalies are one of the phenotypical aspects of at least 900 rare diseases or syndromes affecting by definition less than 1 in 2000 individual within the population (almost 25 million persons in Europe).

They are often described in association with other organs or system malformations, which is understandable, because the same genes and signalling pathways regulate the oral cavity formation or odontogenesis and the development of other organs. The various dental and orofacial anomalies can be classified by type (anomalies of tooth number, shape, size, structures of mineralized tissues, eruption, resorption, tumors; anomalies of oral mucosa; anomalies of tongue…), by signalling pathways and by syndrome families.

These anomalies (for example hypodontia/oligodontia, amelogenesis imperfecta, dentinogenesis imperfecta…) become increasingly identified as diagnostic and predictive traits. Not only is it important to recognise, name appropriately and integrate these dysmorphic clues into the patient dysmorphology analysis but it is essential to synthesize the observations and confront them to existing data about similar orodental anomalies encountered in some of the corresponding mutant mouse models.

Translational approaches in development and medicine, are relevant to gain understanding of molecular events underlying clinical manifestations and to enhance diagnostic accuracy.

The aim of this study is to improve the knowledge, diagnosis and care of oral cavity pathologies encountered in rare diseases via the identification and gathering of national and international patient cohorts and to structure the molecular diagnosis behind these conditions via targeted next-generation sequencing assays. Data collection is implemented on validated accredited tools (databases) complying with the legal regulations about patient data protection and medical record collection. All information is anonymized.

New effective diagnosis and therapeutic tools are being developed.",NO,Rare Disease Orodontal,OTHER: Salivary and blood samples,"University Hospital, Strasbourg, France",,,500,OBSERVATIONAL,2015-01
NCT07314736,Stakeholders of Rare Diseases Informing Values In Neuroethics,https://clinicaltrials.gov/study/NCT07314736,RECRUITING,"The purpose of this research study is to learn more about the perspectives of key stakeholders-patients, families, healthcare providers, and researchers-on the ethical challenges of small-scale, personalized treatment trials for rare neurological diseases (RND).",NO,"Rare Disorder|Disorder, Neurologic",,St. Jude Children's Research Hospital,,,385,OBSERVATIONAL,2026-05
NCT05179863,Swiss Rare Disease Registry (SRDR),https://clinicaltrials.gov/study/NCT05179863,RECRUITING,"The SRDR is a national registry that records rare diseases in people of any age who live in Switzerland. It serves as a platform for scientists, health professionals, affected people, and politicians.The SRDR aims to collect epidemiological data on rare diseases, and data on changes to the diagnosis over time. The SRDR will further serve as a research platform and facilitate patient participation in national and international studies. The SRDR will promote harmonization of data and method between the numerous existing disease-specific registries in Switzerland, will strengthen the exchange with international rare disease registries for research and policy, and will build a network for communication for patients and health care providers.",NO,Rare Diseases,,University of Bern,"Federal Office of Public Health, Switzerland|Universitäts-Kinderspital Zürich|University Children's Hospital Basel|Insel Gruppe AG, University Hospital Bern|University Hospital, Zürich|Centre Hospitalier Universitaire Vaudois|University Hospital, Geneva|Proraris Allianz seltener Krankheiten|Kosek National Coordination Rare Diseases Switzerland|Orphanet Suisse|University of Zurich|Kantonsspital Aarau|Ente Ospedaliero Cantonale, Bellinzona|Cantonal Hospital of St. Gallen|Ostschweizer Kinderspital|University Hospital, Basel, Switzerland|Balgrist University Hospital|Centro Malattie Rare della Svizzera Italiana",,500000,OBSERVATIONAL,2018-01-01
NCT07497581,A Longitudinal Study on Family Adaptation and Relationship Dynamics in Pediatric Rare Diseases,https://clinicaltrials.gov/study/NCT07497581,NOT_YET_RECRUITING,"Rare diseases in children can affect not only the child's health but also the well-being and relationships within the entire family. Parents often experience stress, uncertainty, and emotional strain, which may in turn influence their child's mental health and quality of life. However, little is known about how families adapt over time to living with a rare disease or how daily experiences and family interactions shape this process.

This study aims to better understand how children with rare diseases and their caregivers adjust psychologically and emotionally over time. It will examine how factors such as parental stress, uncertainty, coping strategies, and family communication are linked to the mental health and quality of life of both children and parents.

The study will include children and adolescents (ages 1-18) with a diagnosed rare disease and their caregivers. Participants will complete online questionnaires at four time points over one year. A subgroup of families will also take part in a two-week smartphone-based assessment, where parents report their daily experiences, such as stress, emotions, and worries, several times per day. Some children and adolescents will additionally participate in interviews to share their own perspectives.

The main outcomes of interest are the child's mental health and quality of life. The study will also assess parental well-being and family functioning to understand how these factors influence each other over time.

By combining long-term and daily data, this study will provide a detailed picture of how families cope with rare diseases in everyday life. The findings may help improve psychological support and guide the development of targeted interventions for families affected by rare pediatric conditions.",NO,Rare Diseases,,Markus A. Landolt,,,240,OBSERVATIONAL,2026-04-01
NCT04339465,Children Affected by Rare Disease and Their Families Network,https://clinicaltrials.gov/study/NCT04339465,UNKNOWN,"Families of children with rare diseases (i.e., not more than 5 out of 10.000 people are affected) are often highly burdened with fears, insecurities and concerns regarding the affected child and his/her siblings. The project at hand will test two innovative forms of care (CARE-FAM and WEP-CARE) at 17 sites in 12 federal states of Germany. The goal is to improve the mental health and quality of life of children affected by rare diseases and their relatives in a sustainable manner. If successful, these interventions will be introduced into regular care.",NO,Rare Diseases,BEHAVIORAL: CARE-FAM|BEHAVIORAL: WEP-CARE,"Silke Wiegand-Grefe, Prof. Dr.","Techniker Krankenkasse|BARMER|DAK Gesundheit|KKH Kaufmännische Krankenkasse|BKK Mobil Oil|Achse e.V.|University of Ulm|Universitätsklinikum Hamburg-Eppendorf|University Hospital Schleswig-Holstein|University Medical Center Rostock|University Hospital Muenster|University Hospital, Essen|Ruhr University of Bochum|Universitätsklinikum Köln|University of Göttingen|Hannover Medical School|Evangelisches Klinikum Bethel|Charite University, Berlin, Germany|DRK Kliniken Berlin Westend|Universitätsklinikum Leipzig|University of Giessen|University Hospital Freiburg|Josefinum Augsburg|University Hospital Augsburg|University Hospital, Saarland|Jena University Hospital|Leibniz Universität, Center for Health Economics Research Hannover|aQua-Institut",NA,687,INTERVENTIONAL,2019-01-01
NCT06466109,Using Social Robots in Children With Rare Diseases and Their Parents: A Feasibility Study,https://clinicaltrials.gov/study/NCT06466109,COMPLETED,"The goals of this clinical trial are to (a) evaluate the feasibility and acceptability of a social robot intervention for providing family-based care for rare diseases families and (b) explore the effectiveness of the social robot intervention in improving the parent-child relationships and alleviating stress and anxiety for rare diseases patients and their parents. The main questions are:

* Is the social robot intervention suitable for and acceptable to rare disease patients and parents?
* Does the social robot intervention improve the parent-child relationship of rare disease patients and their parents?
* Does the social robot intervention alleviate the stress and anxiety of rare disease patients and their parents? Patients and their parents will interact with the social robot PARO separately and together in each 30-minute course every two weeks for four courses.",NO,Rare Diseases,BEHAVIORAL: social robot intervention,National Yang Ming Chiao Tung University,,NA,14,INTERVENTIONAL,2024-07-12
NCT04024774,Diagnostic Research in Patients With Rare Diseases -Solving the Unsolved Rare Diseases,https://clinicaltrials.gov/study/NCT04024774,RECRUITING,"Most diagnostically unsolved rare disease have a genetic cause. These causes have not been found applying the current methodologies due to technical limitations (e.g. repeat expansions, changes in non-coding (intronic) regions) or, although methodically recorded, their pathophysiological significance but not classified as clinically relevant. A re- and meta-analysis of existing data sets with new algorithms and statistical models as well as the complementation with other omics technologies followed by functional follow-up studies in appropriate disease models (e.g. patient cell lines) allows to elucidate additional causes of diseases and improve the diagnosis of hereditary diseases. In addition to the direct examination of persons affected, the analysis of healthy family members, for example of parents, plays an important role in a so-called trio analysis, especially in the efficient filtering of the extensive data sets for newly created changes, so-called de novo- Variants (new mutations). In the context of the outlined analyzes, new disease genes can be found and validated. The gain of scientific knowledge due to a better understanding of basic cell biological mechanisms can contribute to the development of targeted therapeutic approaches.

In this context, the Solve-RD project has been built and financed by the European Union with the ambitions to solve large numbers of rare disease, for which a molecular cause is not known yet by sophisticated combined omics approaches, and to improve diagnostics of rare disease patients. Solve-RD fully integrates with the newly formed European Reference Networks (ERNs) for rare diseases, and in particular the ERN-RND, -EURO-NMD, -ITHACA, and -GENTURIS. The AnDDI-Rares network is fully affiliated to the ERN ITHACA network and will actively contribute to the project, by the ambition of sharing knowledge about genes, genomic variants and phenotypes.

The project will first reanalyse 18.000 negative exomes from the different ERNs performed in a diagnostic or research context (collection of biomaterial, clinical/phenotypic data plus next-generation sequencing has already been performed, and the patient/family has agreed previously in writing that their sample could be used for research related to their disease, with no study related presence required. The project will also propose new multi-omics analyses with new samples needed in 500 patients and their parents in total, justifying the AnDDI-Solve-RD project.",NO,Rare Diseases,BIOLOGICAL: Biological samples|GENETIC: Genetic test,Centre Hospitalier Universitaire Dijon,,,50,OBSERVATIONAL,2019-11-14
NCT04319796,European Registry on Rare Neurological Diseases,https://clinicaltrials.gov/study/NCT04319796,UNKNOWN,"The recent implementation of European Reference Networks for Rare Diseases (ERNs) is an unprecedented move to improve the care of patients suffering from rare health disorders by transnational collaboration. ERN-RND, the ERN for Rare Neurological Diseases, oversees more than 35,000 patients in 31 specialist centers in 13 countries. The ERN-RND registry aims to gather information on patient cohorts in the multiple specialist centers and to provide an overview on patient numbers principally accessible for translational studies.",NO,Rare Diseases,OTHER: Data set as defined by the ERN Research Workgroup of the European Commission,University Hospital Tuebingen,,,5000,OBSERVATIONAL,2021-10
NCT04855734,FACE for Children With Rare Diseases,https://clinicaltrials.gov/study/NCT04855734,COMPLETED,"Children with ultra-rare or complex rare diseases are routinely excluded from research studies because of their conditions, creating a health disparity. However, new statistical techniques make it possible to study small samples of heterogeneous populations. We propose to study the palliative care needs of family caregivers of children with ultra-rare diseases and to pilot test a palliative care needs assessment and advance care planning intervention to facilitate discussions about the future medical care choices families are likely to be asked to make for their child.",YES,Rare Diseases,BEHAVIORAL: FAmily CEntered (FACE) pACP Intervention,Children's National Research Institute,Respecting Choices|National Institutes of Health (NIH)|National Institute of Nursing Research (NINR),NA,42,INTERVENTIONAL,2021-07-06
NCT02034630,"Targeted Busulfan, Fludarabine Conditioning Regimen for Hematopoietic Stem Cell Transplantation in GRD",https://clinicaltrials.gov/study/NCT02034630,UNKNOWN,"To evaluate the outcome of hematopoietic stem cell transplantation using targeted busulfan, fludarabine conditioning regimen in genetic rare disease",NO,Genetic Rare Disease,DRUG: Busulfan,Seoul National University Hospital,,PHASE1|PHASE2,5,INTERVENTIONAL,2014-07-21
